Contract_Term,State,Company,Industry,Load,Peak_Rate,Off_Peak_Rate
48,SA,Company 837,PROPERTY AND BUSINESS SERVICES,199,16.04,8.66
52,SA,Company 838,PROPERTY AND BUSINESS SERVICES,211,18.31,9.59
48,NSW,Company 839,"ACCOMMODATION, CAFES AND RESTAURANTS",293,7.57,5.57
48,NSW,Company 839,"ACCOMMODATION, CAFES AND RESTAURANTS",261,7.57,5.57
48,VIC,Company 840,PROPERTY AND BUSINESS SERVICES,180,11.45,7.64
48,VIC,Company 841,MANUFACTURING,242,11.58,8.06
24,SA,Company 842,PROPERTY AND BUSINESS SERVICES,766,19.72,10.46
48,NSW,Company 843,MANUFACTURING,394,10.76,7.46
12,VIC,Company 844,EDUCATION,209,10.63,7.23
24,VIC,Company 845,"ACCOMMODATION, CAFES AND RESTAURANTS",380,15.27,10.23
36,SA,Company 846,MANUFACTURING,2977,14.39,8.41
36,SA,Company 846,MANUFACTURING,672,14.39,8.41
36,SA,Company 846,MANUFACTURING,742,14.39,8.41
12,SA,Company 847,MANUFACTURING,490,7.88,4.11
36,NSW,Company 848,PROPERTY AND BUSINESS SERVICES,342,9.56,7.34
36,NSW,Company 848,PROPERTY AND BUSINESS SERVICES,342,9.56,7.34
36,SA,Company 849,PROPERTY AND BUSINESS SERVICES,3949,14.21,8.77
36,SA,Company 849,PROPERTY AND BUSINESS SERVICES,2130,14.21,8.77
48,QLD,Company 850,PROPERTY AND BUSINESS SERVICES,758,8.97,6.39
48,QLD,Company 850,PROPERTY AND BUSINESS SERVICES,599,8.97,6.39
36,QLD,Company 850,PROPERTY AND BUSINESS SERVICES,766,8.58,5.95
13,QLD,Company 851,"ACCOMMODATION, CAFES AND RESTAURANTS",342,9.97,7.42
24,VIC,Company 852,EDUCATION,417,12.07,9.09
30,SA,Company 853,MINING,160,11.5,7.27
12,SA,Company 854,MANUFACTURING,208,12.82,8.61
36,VIC,Company 855,MANUFACTURING,617,4.87,3.22
12,NSW,Company 856,"ACCOMMODATION, CAFES AND RESTAURANTS",414,11.48,7.42
36,VIC,Company 857,PROPERTY AND BUSINESS SERVICES,193,14.74,8.9
48,QLD,Company 858,"ACCOMMODATION, CAFES AND RESTAURANTS",3500,8.75,6.26
24,QLD,Company 859,MANUFACTURING,930,10.43,7.31
12,VIC,Company 860,GOVERNMENT ADMINISTRATION AND DEFENCE,214,9.22,6.81
12,VIC,Company 860,GOVERNMENT ADMINISTRATION AND DEFENCE,190,9.22,6.81
12,VIC,Company 860,GOVERNMENT ADMINISTRATION AND DEFENCE,316,9.22,6.81
48,VIC,Company 861,MANUFACTURING,277,8.36,5.88
36,VIC,Company 862,RETAIL TRADE,1932,12.07,7.58
27,NSW,Company 863,PROPERTY AND BUSINESS SERVICES,234,10.42,7.48
42,NSW,Company 864,PROPERTY AND BUSINESS SERVICES,532,9.37,6.81
12,QLD,Company 865,CULTURAL AND RECREATIONAL SERVICES,4501,9.08,6.47
12,QLD,Company 865,PROPERTY AND BUSINESS SERVICES,4661,8.35,6.28
12,VIC,Company 866,PROPERTY AND BUSINESS SERVICES,539,10.47,7.53
36,NSW,Company 867,RETAIL TRADE,152,12.17,6.94
27,QLD,Company 868,MANUFACTURING,902,8.92,6.21
12,NSW,Company 869,RETAIL TRADE,128,8.77,6.71
12,NSW,Company 869,RETAIL TRADE,357,8.77,6.71
12,NSW,Company 870,MANUFACTURING,941,12.11,7.43
48,QLD,Company 871,PROPERTY AND BUSINESS SERVICES,1457,8.81,6.24
56,QLD,Company 872,PROPERTY AND BUSINESS SERVICES,110,10.1,7.5
12,SA,Company 873,MANUFACTURING,2713,13.26,7.63
48,QLD,Company 874,MANUFACTURING,1704,7.98,6.04
36,VIC,Company 875,PROPERTY AND BUSINESS SERVICES,413,17.73,9.9
12,QLD,Company 876,"ACCOMMODATION, CAFES AND RESTAURANTS",1508,9.81,6.44
12,QLD,Company 877,PROPERTY AND BUSINESS SERVICES,2285,8.27,6.25
48,QLD,Company 878,EDUCATION,736,8.95,6.47
24,VIC,Company 879,MANUFACTURING,101,10.35,9.47
36,VIC,Company 880,MANUFACTURING,163,10.39,6.7
48,QLD,Company 881,PROPERTY AND BUSINESS SERVICES,669,9.15,6.32
36,NSW,Company 882,CULTURAL AND RECREATIONAL SERVICES,415,16.19,9.64
48,QLD,Company 883,CULTURAL AND RECREATIONAL SERVICES,255,12.39,8.25
36,VIC,Company 884,RETAIL TRADE,526,12.92,7.69
48,QLD,Company 885,PROPERTY AND BUSINESS SERVICES,222,9.71,7.77
36,SA,Company 886,"ACCOMMODATION, CAFES AND RESTAURANTS",136,23.47,10.32
48,QLD,Company 887,MANUFACTURING,1164,9.5,6.73
26,NSW,Company 888,PROPERTY AND BUSINESS SERVICES,159,8.88,6.63
36,NSW,Company 889,MANUFACTURING,162,9.23,6.78
12,SA,Company 890,HEALTH AND COMMUNITY SERVICES,108,14.06,7.9
12,SA,Company 890,HEALTH AND COMMUNITY SERVICES,582,14.06,7.9
51,VIC,Company 891,MANUFACTURING,115,8.99,7.32
49,VIC,Company 892,MANUFACTURING,252,9.39,7.6
48,VIC,Company 893,MANUFACTURING,102,9.58,7.69
57,NSW,Company 894,MANUFACTURING,1080,10.19,6.3
12,QLD,Company 895,PROPERTY AND BUSINESS SERVICES,578,11.39,7.02
36,NSW,Company 896,MANUFACTURING,140,8,5.21
36,SA,Company 896,MANUFACTURING,433,14.85,9.08
48,QLD,Company 897,RETAIL TRADE,396,12.75,7.46
12,SA,Company 898,HEALTH AND COMMUNITY SERVICES,157,14.06,7.9
12,SA,Company 898,HEALTH AND COMMUNITY SERVICES,780,14.06,7.9
56,NSW,Company 899,CONSTRUCTION,175,15.94,9.7
24,VIC,Company 900,EDUCATION,149,12.17,9.61
48,VIC,Company 901,FINANCE AND INSURANCE,132,12.35,8.7
12,NSW,Company 902,HEALTH AND COMMUNITY SERVICES,194,10.29,6.01
12,NSW,Company 902,HEALTH AND COMMUNITY SERVICES,2064,10.29,6.01
12,NSW,Company 902,MANUFACTURING,1940,11.26,7.25
12,NSW,Company 902,TRANSPORT AND STORAGE,1940,11.26,7.25
14,SA,Company 902,TRANSPORT AND STORAGE,1865,14.4,8.56
36,QLD,Company 903,"ACCOMMODATION, CAFES AND RESTAURANTS",203,8.82,6.53
55,NSW,Company 904,PROPERTY AND BUSINESS SERVICES,165,10.99,7.66
12,VIC,Company 905,PROPERTY AND BUSINESS SERVICES,545,14.5,7.77
24,SA,Company 906,MANUFACTURING,300,12.07,7.54
24,SA,Company 906,MANUFACTURING,300,12.07,7.54
24,VIC,Company 907,PERSONAL AND OTHER SERVICES,1245,12.54,8.41
24,NSW,Company 908,PROPERTY AND BUSINESS SERVICES,230,11.11,8.53
54,VIC,Company 909,MANUFACTURING,312,10.01,7.43
24,VIC,Company 910,PROPERTY AND BUSINESS SERVICES,105,12.71,7.17
24,VIC,Company 910,PROPERTY AND BUSINESS SERVICES,252,12.71,7.17
24,NSW,Company 911,PROPERTY AND BUSINESS SERVICES,160,11.46,7.01
36,VIC,Company 912,PROPERTY AND BUSINESS SERVICES,1345,10.84,6.85
12,NSW,Company 913,"ACCOMMODATION, CAFES AND RESTAURANTS",1971,10.75,7.23
36,VIC,Company 914,RETAIL TRADE,545,12.77,7.89
36,NSW,Company 915,CULTURAL AND RECREATIONAL SERVICES,229,9.62,5.79
36,NSW,Company 916,PROPERTY AND BUSINESS SERVICES,233,10.81,7.15
24,VIC,Company 917,MANUFACTURING,142,11.83,12.64
36,VIC,Company 918,"AGRICULTURE, FORESTRY AND FISHING",289,12.43,7.19
12,NSW,Company 919,WHOLESALE TRADE,101,12.73,7.55
25,QLD,Company 919,PROPERTY AND BUSINESS SERVICES,1002,8.53,6.17
12,SA,Company 919,MANUFACTURING,390,14.07,8.52
12,SA,Company 919,MANUFACTURING,151,14.07,8.52
36,VIC,Company 920,PROPERTY AND BUSINESS SERVICES,123,12.23,8.64
48,VIC,Company 921,HEALTH AND COMMUNITY SERVICES,408,12.75,7.86
48,VIC,Company 921,HEALTH AND COMMUNITY SERVICES,409,12.75,7.86
12,NSW,Company 922,MANUFACTURING,1288,8.69,6.34
24,VIC,Company 923,PROPERTY AND BUSINESS SERVICES,180,14.65,9.24
12,QLD,Company 924,HEALTH AND COMMUNITY SERVICES,1089,9.2,5.9
12,QLD,Company 924,HEALTH AND COMMUNITY SERVICES,1209,9.2,5.9
12,QLD,Company 924,HEALTH AND COMMUNITY SERVICES,1209,9.2,5.9
12,QLD,Company 924,HEALTH AND COMMUNITY SERVICES,1209,9.2,5.9
24,QLD,Company 925,PROPERTY AND BUSINESS SERVICES,158,10.47,7.75
36,QLD,Company 926,PROPERTY AND BUSINESS SERVICES,411,10.42,7.35
12,NSW,Company 927,MANUFACTURING,2247,11.22,7.13
12,NSW,Company 927,MANUFACTURING,3617,11.22,7.13
12,NSW,Company 927,MANUFACTURING,1604,11.22,7.13
12,NSW,Company 927,MANUFACTURING,190,11.22,7.13
12,VIC,Company 927,"ACCOMMODATION, CAFES AND RESTAURANTS",104,14.13,7.82
48,VIC,Company 928,PROPERTY AND BUSINESS SERVICES,629,12.96,7.69
36,VIC,Company 929,MANUFACTURING,874,12.88,7.94
36,VIC,Company 930,CULTURAL AND RECREATIONAL SERVICES,201,9.97,6.69
36,VIC,Company 931,MANUFACTURING,399,12.12,8.48
24,QLD,Company 932,MANUFACTURING,140,10.18,7.93
12,SA,Company 932,MANUFACTURING,218,15.16,9.55
48,NSW,Company 933,CULTURAL AND RECREATIONAL SERVICES,1983,9.3,5.84
48,NSW,Company 933,CULTURAL AND RECREATIONAL SERVICES,358,9.3,5.84
48,NSW,Company 933,CULTURAL AND RECREATIONAL SERVICES,358,9.3,5.84
36,VIC,Company 934,MANUFACTURING,185,12.63,9.87
12,NSW,Company 935,RETAIL TRADE,341,10.94,7.17
34,VIC,Company 936,MANUFACTURING,4022,10.69,7.31
41,NSW,Company 937,CULTURAL AND RECREATIONAL SERVICES,2558,9.87,6.49
12,NSW,Company 938,PROPERTY AND BUSINESS SERVICES,215,9.37,7.03
12,NSW,Company 938,PROPERTY AND BUSINESS SERVICES,167,9.37,7.03
12,NSW,Company 938,PROPERTY AND BUSINESS SERVICES,125,9.37,7.03
12,NSW,Company 938,PROPERTY AND BUSINESS SERVICES,526,9.37,7.03
12,NSW,Company 938,PROPERTY AND BUSINESS SERVICES,167,9.37,7.03
12,NSW,Company 938,PROPERTY AND BUSINESS SERVICES,705,9.37,7.03
8,QLD,Company 938,PROPERTY AND BUSINESS SERVICES,372,10.03,8
12,SA,Company 938,PROPERTY AND BUSINESS SERVICES,169,13.97,8.47
12,NSW,Company 939,CULTURAL AND RECREATIONAL SERVICES,395,8.82,5.44
24,SA,Company 940,HEALTH AND COMMUNITY SERVICES,284,18.51,10.43
43,VIC,Company 941,MANUFACTURING,147,10.71,7.22
36,NSW,Company 942,"AGRICULTURE, FORESTRY AND FISHING",120,10.87,6.68
12,NSW,Company 943,PROPERTY AND BUSINESS SERVICES,278,12.13,7.58
36,SA,Company 944,MANUFACTURING,189,10.77,6.89
36,SA,Company 944,MANUFACTURING,448,10.77,6.89
36,SA,Company 944,MANUFACTURING,954,10.77,6.89
36,SA,Company 944,MANUFACTURING,113,10.77,6.89
24,SA,Company 945,HEALTH AND COMMUNITY SERVICES,170,22.45,11.65
12,QLD,Company 946,MANUFACTURING,275,9.53,6.66
48,VIC,Company 947,MANUFACTURING,670,13.22,9.72
36,QLD,Company 948,PROPERTY AND BUSINESS SERVICES,2584,8.95,6.45
24,SA,Company 949,FINANCE AND INSURANCE,165,14.27,8.99
48,SA,Company 950,MANUFACTURING,1004,12.28,7.77
12,NSW,Company 951,PROPERTY AND BUSINESS SERVICES,105,11.25,7.1
12,NSW,Company 951,PROPERTY AND BUSINESS SERVICES,106,11.25,7.1
48,VIC,Company 952,RETAIL TRADE,183,9.99,7.55
36,VIC,Company 953,PROPERTY AND BUSINESS SERVICES,110,12.62,8.45
11,QLD,Company 954,CONSTRUCTION,114,11.19,7.42
11,QLD,Company 954,CONSTRUCTION,114,11.19,7.42
13,QLD,Company 954,CONSTRUCTION,150,10.92,7.34
12,SA,Company 955,MANUFACTURING,2770,16.04,9.32
48,SA,Company 956,"AGRICULTURE, FORESTRY AND FISHING",385,16.52,8.1
48,SA,Company 956,"AGRICULTURE, FORESTRY AND FISHING",334,16.52,8.1
48,NSW,Company 957,MANUFACTURING,562,9.65,7.47
36,VIC,Company 958,TRANSPORT AND STORAGE,173,12.64,8.53
33,VIC,Company 958,TRANSPORT AND STORAGE,173,10.59,7.89
12,VIC,Company 959,MANUFACTURING,666,11.55,8.75
24,QLD,Company 960,TRANSPORT AND STORAGE,200,12.09,7.04
24,VIC,Company 961,HEALTH AND COMMUNITY SERVICES,189,11.54,8.44
36,QLD,Company 962,PROPERTY AND BUSINESS SERVICES,236,10.41,7.47
36,QLD,Company 963,RETAIL TRADE,156,8.86,6.86
24,QLD,Company 964,"AGRICULTURE, FORESTRY AND FISHING",513,7.79,5.98
13,QLD,Company 965,TRANSPORT AND STORAGE,100,12.69,7.87
49,QLD,Company 965,TRANSPORT AND STORAGE,368,11.4,8.18
36,QLD,Company 965,TRANSPORT AND STORAGE,862,8.86,6.66
24,NSW,Company 966,MANUFACTURING,629,10.65,7.95
24,NSW,Company 966,MANUFACTURING,137,10.65,7.95
24,NSW,Company 966,MANUFACTURING,231,10.65,7.95
24,NSW,Company 966,MANUFACTURING,260,10.65,7.95
24,NSW,Company 966,MANUFACTURING,260,10.65,7.95
24,NSW,Company 966,MANUFACTURING,121,10.65,7.95
24,NSW,Company 966,MANUFACTURING,902,10.65,7.95
24,NSW,Company 966,MANUFACTURING,832,10.65,7.95
24,NSW,Company 966,MANUFACTURING,1660,10.65,7.95
24,NSW,Company 966,MANUFACTURING,2839,10.65,7.95
24,NSW,Company 966,MANUFACTURING,1131,10.65,7.95
24,NSW,Company 966,MANUFACTURING,1032,10.65,7.95
24,QLD,Company 966,MANUFACTURING,374,9.24,6.59
24,QLD,Company 966,MANUFACTURING,3976,9.24,6.59
24,QLD,Company 966,MANUFACTURING,188,9.24,6.59
24,QLD,Company 966,MANUFACTURING,672,9.24,6.59
24,QLD,Company 966,MANUFACTURING,156,9.24,6.59
24,QLD,Company 966,MANUFACTURING,133,9.24,6.59
24,QLD,Company 966,MANUFACTURING,118,9.24,6.59
24,QLD,Company 966,MANUFACTURING,367,9.24,6.59
24,VIC,Company 966,MANUFACTURING,193,12.38,8.67
24,VIC,Company 966,MANUFACTURING,2500,12.38,8.67
24,VIC,Company 966,MANUFACTURING,2500,12.38,8.67
24,VIC,Company 966,MANUFACTURING,176,12.38,8.67
24,VIC,Company 966,MANUFACTURING,1100,12.38,8.67
24,VIC,Company 966,MANUFACTURING,945,12.38,8.67
24,VIC,Company 966,MANUFACTURING,2247,12.38,8.67
24,VIC,Company 966,MANUFACTURING,134,12.38,8.67
20,VIC,Company 966,MANUFACTURING,229,12.38,8.67
24,VIC,Company 966,MANUFACTURING,639,12.38,8.67
24,VIC,Company 966,MANUFACTURING,1331,12.38,8.67
48,SA,Company 967,MANUFACTURING,245,13.16,9.34
52,QLD,Company 968,"AGRICULTURE, FORESTRY AND FISHING",270,9.23,7.15
24,NSW,Company 969,CULTURAL AND RECREATIONAL SERVICES,238,14.69,9.68
48,QLD,Company 970,PROPERTY AND BUSINESS SERVICES,2570,8.4,6.19
12,NSW,Company 971,"ACCOMMODATION, CAFES AND RESTAURANTS",330,10.94,7.11
36,NSW,Company 972,CULTURAL AND RECREATIONAL SERVICES,182,11.54,7.57
12,VIC,Company 973,"ACCOMMODATION, CAFES AND RESTAURANTS",158,9.48,7.08
24,NSW,Company 974,RETAIL TRADE,232,12.68,8.83
12,NSW,Company 975,"ACCOMMODATION, CAFES AND RESTAURANTS",107,12.06,6.85
12,VIC,Company 976,GOVERNMENT ADMINISTRATION AND DEFENCE,146,9.22,6.81
36,VIC,Company 977,MANUFACTURING,510,11.45,7.57
36,VIC,Company 978,PROPERTY AND BUSINESS SERVICES,220,12.59,8.13
24,NSW,Company 979,CULTURAL AND RECREATIONAL SERVICES,270,13,8.99
12,VIC,Company 980,PROPERTY AND BUSINESS SERVICES,166,7.91,6.27
54,NSW,Company 981,CULTURAL AND RECREATIONAL SERVICES,130,9.4,6.05
53,SA,Company 982,"AGRICULTURE, FORESTRY AND FISHING",345,10.11,5.11
12,NSW,Company 983,PROPERTY AND BUSINESS SERVICES,372,12.32,7.39
36,NSW,Company 984,CULTURAL AND RECREATIONAL SERVICES,330,9.77,6.3
36,NSW,Company 985,PROPERTY AND BUSINESS SERVICES,304,12.12,7.99
38,QLD,Company 986,WHOLESALE TRADE,100,8.86,6.45
36,QLD,Company 987,PROPERTY AND BUSINESS SERVICES,126,14.17,8.13
24,NSW,Company 988,MANUFACTURING,317,11.6,7.4
24,NSW,Company 989,WHOLESALE TRADE,363,12.76,8.82
36,VIC,Company 990,PROPERTY AND BUSINESS SERVICES,1505,11.69,8.31
38,VIC,Company 991,"AGRICULTURE, FORESTRY AND FISHING",221,12.68,8.07
48,VIC,Company 992,RETAIL TRADE,250,13.78,7.87
36,SA,Company 993,"AGRICULTURE, FORESTRY AND FISHING",160,14.51,8.09
36,VIC,Company 994,WHOLESALE TRADE,200,8.71,7.45
48,VIC,Company 995,PROPERTY AND BUSINESS SERVICES,346,11.62,8
12,NSW,Company 996,MANUFACTURING,1677,8.74,6.38
24,QLD,Company 997,MANUFACTURING,864,9.49,7.23
24,SA,Company 998,HEALTH AND COMMUNITY SERVICES,654,14.33,9.6
12,SA,Company 999,MANUFACTURING,1634,12.02,7.84
12,SA,Company 999,MANUFACTURING,423,12.02,7.84
12,VIC,Company 1000,MANUFACTURING,457,8.87,7.43
54,NSW,Company 1001,EDUCATION,504,12.09,7.61
36,SA,Company 1002,CULTURAL AND RECREATIONAL SERVICES,425,12.68,7.61
24,QLD,Company 1003,"ACCOMMODATION, CAFES AND RESTAURANTS",130,9.76,6.62
36,NSW,Company 1004,PROPERTY AND BUSINESS SERVICES,206,10.6,6.71
36,NSW,Company 1005,RETAIL TRADE,217,12.38,8.29
36,SA,Company 1006,MANUFACTURING,210,13.74,7.8
53,VIC,Company 1007,MANUFACTURING,580,11.18,8.47
12,NSW,Company 1008,"ACCOMMODATION, CAFES AND RESTAURANTS",140,10.22,6.57
36,VIC,Company 1009,PROPERTY AND BUSINESS SERVICES,109,8.88,6.68
36,VIC,Company 1010,CULTURAL AND RECREATIONAL SERVICES,292,13.79,8.89
12,NSW,Company 1011,FINANCE AND INSURANCE,257,9.7,6.93
12,NSW,Company 1011,FINANCE AND INSURANCE,492,9.7,6.93
12,NSW,Company 1011,FINANCE AND INSURANCE,159,9.7,6.93
12,NSW,Company 1011,FINANCE AND INSURANCE,259,10.12,7.35
12,NSW,Company 1011,FINANCE AND INSURANCE,257,10.12,7.35
12,NSW,Company 1011,FINANCE AND INSURANCE,313,10.12,7.35
12,NSW,Company 1012,MANUFACTURING,328,7.94,5.34
36,VIC,Company 1013,MANUFACTURING,311,12.64,8.25
36,VIC,Company 1014,MANUFACTURING,158,11.05,8.03
36,VIC,Company 1015,MANUFACTURING,407,11.78,7.76
24,SA,Company 1016,CONSTRUCTION,447,11.58,7.33
36,NSW,Company 1017,PROPERTY AND BUSINESS SERVICES,194,11.4,8.5
12,NSW,Company 1017,PROPERTY AND BUSINESS SERVICES,646,12.22,8.14
54,VIC,Company 1018,WHOLESALE TRADE,158,12.02,7.65
54,VIC,Company 1018,WHOLESALE TRADE,518,12.02,7.65
54,VIC,Company 1018,WHOLESALE TRADE,138,12.02,7.65
54,VIC,Company 1018,WHOLESALE TRADE,194,12.02,7.65
54,VIC,Company 1018,WHOLESALE TRADE,262,12.02,7.65
51,VIC,Company 1018,RETAIL TRADE,100,12.02,7.65
54,VIC,Company 1018,WHOLESALE TRADE,306,12.02,7.65
51,VIC,Company 1018,RETAIL TRADE,155,12.02,7.65
54,VIC,Company 1018,WHOLESALE TRADE,240,12.02,7.65
54,VIC,Company 1018,WHOLESALE TRADE,277,12.02,7.65
51,VIC,Company 1018,RETAIL TRADE,125,12.02,7.65
54,VIC,Company 1018,WHOLESALE TRADE,246,12.02,7.65
54,VIC,Company 1018,WHOLESALE TRADE,110,12.02,7.65
54,VIC,Company 1018,WHOLESALE TRADE,140,12.02,7.65
54,VIC,Company 1018,WHOLESALE TRADE,186,12.02,7.65
54,VIC,Company 1018,WHOLESALE TRADE,266,12.02,7.65
54,VIC,Company 1018,WHOLESALE TRADE,234,12.02,7.65
54,VIC,Company 1018,WHOLESALE TRADE,331,12.02,7.65
54,VIC,Company 1018,WHOLESALE TRADE,182,12.02,7.65
54,VIC,Company 1018,WHOLESALE TRADE,242,12.02,7.65
36,NSW,Company 1019,WHOLESALE TRADE,436,11.05,6.64
24,VIC,Company 1020,PROPERTY AND BUSINESS SERVICES,298,11.44,8.2
57,NSW,Company 1021,PROPERTY AND BUSINESS SERVICES,115,17.86,10.35
36,QLD,Company 1022,RETAIL TRADE,596,8.67,6.35
12,SA,Company 1023,PROPERTY AND BUSINESS SERVICES,449,15.01,8.89
25,VIC,Company 1024,CONSTRUCTION,285,12.67,8.32
59,VIC,Company 1025,PERSONAL AND OTHER SERVICES,120,7.17,4.84
12,NSW,Company 1026,MANUFACTURING,568,10.8,7.17
39,SA,Company 1027,HEALTH AND COMMUNITY SERVICES,591,17.12,9.73
48,SA,Company 1027,HEALTH AND COMMUNITY SERVICES,630,18.74,9.8
48,SA,Company 1027,HEALTH AND COMMUNITY SERVICES,540,18.74,9.8
12,SA,Company 1028,MANUFACTURING,376,13.46,8.86
20,SA,Company 1029,WHOLESALE TRADE,530,14.31,9.46
20,SA,Company 1029,WHOLESALE TRADE,530,14.31,9.46
48,QLD,Company 1030,RETAIL TRADE,134,9.85,7.26
15,SA,Company 1031,TRANSPORT AND STORAGE,1299,12.57,7.59
24,QLD,Company 1032,PROPERTY AND BUSINESS SERVICES,299,9.55,6.68
24,QLD,Company 1032,PROPERTY AND BUSINESS SERVICES,643,9.55,6.68
12,NSW,Company 1033,"ACCOMMODATION, CAFES AND RESTAURANTS",163,12.43,6.85
36,NSW,Company 1034,PROPERTY AND BUSINESS SERVICES,247,10.88,7.44
48,SA,Company 1035,PROPERTY AND BUSINESS SERVICES,128,21.13,11.28
24,VIC,Company 1036,PROPERTY AND BUSINESS SERVICES,103,12.52,8.11
36,VIC,Company 1037,MANUFACTURING,259,11.86,9.62
36,QLD,Company 1038,"ACCOMMODATION, CAFES AND RESTAURANTS",324,12.01,8.28
12,VIC,Company 1039,MANUFACTURING,2423,9.56,7.39
36,VIC,Company 1040,MANUFACTURING,806,8.68,5.94
12,QLD,Company 1041,MANUFACTURING,207,8.41,6.48
12,NSW,Company 1042,PROPERTY AND BUSINESS SERVICES,245,8.88,6.27
12,NSW,Company 1042,PROPERTY AND BUSINESS SERVICES,504,8.88,6.27
12,NSW,Company 1042,PROPERTY AND BUSINESS SERVICES,275,8.88,6.27
12,QLD,Company 1042,PROPERTY AND BUSINESS SERVICES,251,7.81,5.83
12,QLD,Company 1042,PROPERTY AND BUSINESS SERVICES,251,7.81,5.83
12,VIC,Company 1042,TRANSPORT AND STORAGE,459,9.35,6.76
12,VIC,Company 1042,TRANSPORT AND STORAGE,530,9.35,6.76
12,VIC,Company 1042,TRANSPORT AND STORAGE,601,9.35,6.76
12,VIC,Company 1042,TRANSPORT AND STORAGE,237,9.35,6.76
12,VIC,Company 1042,TRANSPORT AND STORAGE,266,9.35,6.76
24,QLD,Company 1043,PROPERTY AND BUSINESS SERVICES,398,11.95,7.11
12,NSW,Company 1044,WHOLESALE TRADE,312,11.71,6.62
12,SA,Company 1045,PROPERTY AND BUSINESS SERVICES,245,15.01,8.89
36,NSW,Company 1046,MANUFACTURING,453,14.18,8.15
12,NSW,Company 1047,"ACCOMMODATION, CAFES AND RESTAURANTS",241,10.58,6.74
12,NSW,Company 1048,"ACCOMMODATION, CAFES AND RESTAURANTS",122,10.64,6.87
48,SA,Company 1049,PROPERTY AND BUSINESS SERVICES,216,15.16,9.27
12,QLD,Company 1050,"ACCOMMODATION, CAFES AND RESTAURANTS",1684,8.53,5.33
12,QLD,Company 1051,WHOLESALE TRADE,236,8.51,6.04
36,VIC,Company 1052,PROPERTY AND BUSINESS SERVICES,382,17.17,11.45
48,NSW,Company 1053,MANUFACTURING,531,8.99,5.74
59,VIC,Company 1054,PERSONAL AND OTHER SERVICES,431,11.88,7.77
36,QLD,Company 1055,MANUFACTURING,2443,8.07,6.31
36,QLD,Company 1056,"ACCOMMODATION, CAFES AND RESTAURANTS",388,9.54,6.72
36,SA,Company 1057,PROPERTY AND BUSINESS SERVICES,161,15.13,9.82
12,VIC,Company 1058,MANUFACTURING,1431,9.82,7.53
24,VIC,Company 1059,MANUFACTURING,272,8.88,8.59
37,QLD,Company 1060,GOVERNMENT ADMINISTRATION AND DEFENCE,575,8.76,6.14
36,VIC,Company 1061,FINANCE AND INSURANCE,370,10.68,6.14
43,SA,Company 1062,PROPERTY AND BUSINESS SERVICES,161,14.42,8.7
13,NSW,Company 1063,HEALTH AND COMMUNITY SERVICES,171,12.94,8.49
13,NSW,Company 1063,HEALTH AND COMMUNITY SERVICES,171,12.94,8.49
13,NSW,Company 1063,HEALTH AND COMMUNITY SERVICES,257,12.94,8.49
24,NSW,Company 1064,CONSTRUCTION,291,12.84,8.84
12,VIC,Company 1065,MANUFACTURING,140,13.67,7.39
48,QLD,Company 1066,PROPERTY AND BUSINESS SERVICES,181,9.44,7.09
12,NSW,Company 1067,PROPERTY AND BUSINESS SERVICES,230,12.38,6.94
24,QLD,Company 1068,MANUFACTURING,444,8.35,5.27
36,NSW,Company 1069,MANUFACTURING,263,10.57,9.14
36,NSW,Company 1070,TRANSPORT AND STORAGE,176,10.23,6.11
36,QLD,Company 1071,"AGRICULTURE, FORESTRY AND FISHING",212,10.46,6.49
12,NSW,Company 1072,PROPERTY AND BUSINESS SERVICES,232,11.54,7.84
12,NSW,Company 1073,PROPERTY AND BUSINESS SERVICES,254,10.52,6.84
12,NSW,Company 1073,PROPERTY AND BUSINESS SERVICES,217,10.72,7.04
12,NSW,Company 1073,GOVERNMENT ADMINISTRATION AND DEFENCE,734,10.72,7.04
12,NSW,Company 1073,PROPERTY AND BUSINESS SERVICES,407,10.52,6.84
12,NSW,Company 1073,PROPERTY AND BUSINESS SERVICES,179,10.52,6.84
12,NSW,Company 1073,PROPERTY AND BUSINESS SERVICES,1042,10.72,7.04
12,NSW,Company 1073,PROPERTY AND BUSINESS SERVICES,217,10.52,6.84
12,NSW,Company 1073,PROPERTY AND BUSINESS SERVICES,277,10.52,6.84
12,NSW,Company 1073,PROPERTY AND BUSINESS SERVICES,127,10.52,6.84
12,NSW,Company 1073,PROPERTY AND BUSINESS SERVICES,999,10.52,6.84
48,VIC,Company 1074,"AGRICULTURE, FORESTRY AND FISHING",106,12.88,8.05
12,QLD,Company 1075,PROPERTY AND BUSINESS SERVICES,1889,8.45,6.13
36,NSW,Company 1076,PROPERTY AND BUSINESS SERVICES,100,10.89,7.43
36,NSW,Company 1077,CULTURAL AND RECREATIONAL SERVICES,533,8.59,5.01
48,NSW,Company 1078,CULTURAL AND RECREATIONAL SERVICES,237,11.48,7.33
36,NSW,Company 1079,CULTURAL AND RECREATIONAL SERVICES,756,10.33,6.59
48,VIC,Company 1080,FINANCE AND INSURANCE,449,12.25,9.85
36,QLD,Company 1081,PROPERTY AND BUSINESS SERVICES,257,10.34,7.08
12,QLD,Company 1082,HEALTH AND COMMUNITY SERVICES,199,11.35,7.28
12,NSW,Company 1083,PROPERTY AND BUSINESS SERVICES,148,9.09,5.3
